Sector	Organization Name (CN)	Industry	Rank	Total Amout	Donation Amount (mil ￥)	Donation Month	Donation Date	Sumif(origin=dest)	Donation Origin (Province)	Donation Origin (City)	Donation Destination (Province)	Donation Destination (City)	Name of Recipient	Name of Recipient (CN)	Donation for what program?	Type of Recipient	Donation Cause	Donation Vehicle	Form of Donation	Pledge? (Y/N)	Donation Link	Donation Link 2	Donation Link 3	Other Donation Link(s)
Individual	吴少勋	Consumer	20	114	1			0	Hubei	Daye	Beijing	Beijing		中国光彩事业基金会		Government Charitable Organization	Unspecified	Individual	Cash	N	http://www.guangcai.org.cn/publicfiles/business/htmlfiles/gcjjh/s3236/201607/45324.html			
Private	雅居乐集团控股有限公司	Real Estate	21	110	100	10	11	0	Guangdong	Guangzhou	Hainan	Haikou		海南热带海洋学院	用于学校基础建设、学生奖助学和教师队伍建设项目。	University or University Foundation	Education	Corporation	Cash	N	http://www.agile.com.cn/news/detail?id=602	http://www.qzu.edu.cn/xyxw/201610/t20161010_9697.html	http://www.qzu.edu.cn/xyxw/201610/t20161010_9697.html	
Private	雅居乐集团控股有限公司	Real Estate	21	110	10	9	28	0	Guangdong	Guangzhou	Beijing	Beijing	Chinese Language and Culture Education Foundation of China	中国华文教育基金会	支持华文教育基金会开展弘扬中华文化、发展华文教育事业、促进中外文化交流活动。	Government	Culture	Corporation	Cash	N	http://web.agile.com.cn/agile/web/main/181/article/4229/	http://www.clef.org.cn/news/2016/1009/5/1861.shtml		
Private	重庆市博恩科技（集团）有限公司	Internet and Communication Technology	21	110	110	9	21	110	Chongqing	Chongqing	Chongqing	Chongqing	Chongqing	电子科技大学	博恩教育发展基金	University or University Foundation	Education	Corporation	Cash	N	http://www.news.uestc.edu.cn/?n=UestcNews.Front.Document.ArticlePage&Id=55607			
Private	乐土精准医疗科技有限公司	Healthcare	21	110	110	7	12	110	Guangdong	Shenzhen	Guangdong	Shenzhen		南方科技大学教育基金会	以支持和推动南科大生命、医学等相关学科建设及人才培养、科技交流等，支持双方共建的“南方科技大学-乐土国际创新中心”的建设与发展。	University or University Foundation	Education	Corporation	Cash	N	http://www.sohu.com/a/105125108_148974	http://www.sustcef.org/cn/news/view/alias/hl86pr2ltr		
Individual	郑跃文	Finance	21	110	100	6	16	100	Jiangxi	Nanchang	Jiangxi	Nanchang		江西慈善扶贫工程		Government	Social Welfare & Poverty Alleviation	Individual	Cash	N	http://free6l29ekdj.xjz12.163ns.cn/622/0/342			
Individual	郑跃文	Finance	21	110	10	4	14	10	Jiangxi	Nanchang	Jiangxi	Nanchang		江西财经学院	支持母校教育事业	University or University Foundation	Education	Individual	Cash	N	http://news.jxufe.cn/html/2016/3-14/n84891166.html			
Individual	马化腾	Internet and Communication Technology	25	107.8719631	100	12	5	0	Guangdong	Shenzhen	Hubei	Wuhan	Wuhan College	武汉学院	湖北一丹大学教育发展基金会	University or University Foundation	Education	Individual	Cash	N	http://hb.qq.com/a/20161206/023967.htm	http://tech.sina.com.cn/it/2016-12-05/doc-ifxyiayr9083319.shtml		
Individual	马化腾	Internet and Communication Technology	25	107.8719631	7.87196313			0	Guangdong	Shenzhen	Beijing	Beijing		爱佑慈善基金会	用于本基金会章程规定事项	Non-Government Foundation	Unspecified	Individual	Cash	N	http://www.ayfoundation.org//upload/Attach/mrbj/2679049874.pdf	http://www.ayfoundation.org/sxgk/gzbg/index.shtml		
Private	碧桂园集团	Real Estate	26	105	85	4	23	0	Guangdong	Foshan	Beijing	Beijing		清华大学	“清华大学-碧桂园教育基金”	University or University Foundation	Education	Corporation	Cash	N	http://www.tsinghua.edu.cn/publish/thunews/10319/2016/20160423210157677491445/20160423210157677491445_.html	http://news.xinhuanet.com/house/bj/2016-07-08/c_1119189086.htm	http://www.guoqiangpwf.org/m/view.php?aid=68	
Private	碧桂园集团	Real Estate	26	105	10	12	19	10	Guangdong	Foshan	Guangdong	Zhaoqing		肇庆市政府	用于教育扶贫事业	Government	Education	Corporation	Cash	N	http://news.xinhuanet.com/house/2016-12-19/c_1120143740.htm			
Private	碧桂园集团	Real Estate	26	105	10	12	30	10	Guangdong	Foshan	Guangdong	Yangjiang		阳江市政府	精准扶贫	Government	Social Welfare & Poverty Alleviation	Corporation	Cash	N	http://yjdaily.yjrb.com.cn/html/2016-12/30/content_3_3.htm			
Private	劲牌有限公司	Consumer	27	101.26	200	4	8	200	Hubei	Daye	Hubei	Daye		大冶市政府	生态公园建设	Government	Social Welfare & Poverty Alleviation	Corporation	Cash	Y	http://news.163.com/16/0416/18/BKPSVKQO00014AED.html			
Private	劲牌有限公司	Consumer	27	101.26	100	1	28	100	Hubei	Daye	Hubei	Wuhan	Hubei Charity Federation	湖北省慈善总会	精准扶贫专项基金 湖北省2016年“慈善之夜”	Government Charitable Organization	Social Welfare & Poverty Alleviation	Corporation	Cash	N	http://news.cnhubei.com/xw/sh/201601/t3529895.shtml	http://news.ifeng.com/a/20160129/47283568_0.shtml	http://news.xinhuanet.com/local/2016-01/29/c_128682210.htm	
Private	劲牌有限公司	Consumer	27	101.26	0.54	3	31	0	Hubei	Daye	Chongqing	Chongqing		重庆市慈善总会	劲牌阳光班助学项目	Government Charitable Organization	Education	Corporation	Cash	N	http://www.cqcszh.com/?Open/Love/1816.html			
Private	劲牌有限公司	Consumer	27	101.26	0.36	6	21	0	Hubei	Daye	Chongqing	Chongqing		重庆市慈善总会	劲牌阳光班助学项目	Government Charitable Organization	Education	Corporation	Cash	N	http://www.cqcszh.com/?Open/Love/2169.html			
Private	劲牌有限公司	Consumer	27	101.26	0.36	1	17	0	Hubei	Daye	Chongqing	Chongqing		重庆市慈善总会	劲牌阳光班助学项目	Government Charitable Organization	Education	Corporation	Cash	N	http://www.cqcszh.com/?Open/Love/1816.html			
